Product Name,Category,Buying Price,Selling Price,Min Alert Quantity,Current Quantity,Description
Professional Wheelchair,Triage & Emergency,0,0,0,0,"Adult/Kids folding wheelchair with desk-length arms and swing-away footrests
Frame: Folding steel/aluminum. Weight Capacity: 100-120kg (adult). Features: Desk-length arms, swing-away footrests, rear-wheel locks, solid/pneumatic tires."
Pulse Oximeter,Triage & Emergency,0,0,0,0,Digital oxygen saturation monitor with LED display for accurate readings
Digital Thermometer,Triage & Emergency,0,0,0,0,"Fast, accurate temperature measurement with memory function"
Blood Pressure Monitor,Triage & Emergency,0,0,0,0,Automatic digital monitor with large display and irregular heartbeat detection
Digital Stethoscope,Triage & Emergency,0,0,0,0,Professional stainless steel stethoscope with superior acoustic quality
Hospital Bed,ICU Setup,0,0,0,0,"Electric adjustable medical bed with safety rails and mattress included
5-Crank ICU Bed Electric - Functions: Backrest, Knee rest, Height adjust, Trendelenburg/Reverse, Chair mode. Material: ABS head/foot board, SS frame. Safety: Side rails, 4 brakes."
Blood Gas & Chemistry Analyser,Laboratory Setup,0,0,0,0,"Edan i15 - Parameters: pH, pCO2, pO2, Na+, K+, Ca++, Cl-, Glu, Lac, Hct
Parameters: pH, pCO2, pO2, Na+, K+, Ca++, Cl-, Glu, Lac, Hct. Test Speed: <60 seconds per sample. Sample Type: Whole blood (arterial/venous/capillary). Cartridge Life: 30 days or 200 tests."
Full Hematology Analyser,Laboratory Setup,0,0,0,0,"URIT H30 - 3-Part or 5-Part Differential with 21-34 parameters
Type: 3-Part Differential (if URIT-3000Plus) or 5-Part (if BH-5390). Throughput: 60 T/H. Parameters: 21-34 parameters + 3 histograms. Sample Volume: Micro sample (8.5µL for whole blood). Storage: 100,000 results."
Semi Auto Hematology Analyser,Laboratory Setup,0,0,0,0,"URIT H50 - 3-Part Differential with 21 parameters
Type: 3-Part Differential. Throughput: 30-42 T/H. Parameters: 21 parameters + 3 histograms (RBC, WBC, PLT). Sample Volume: 10-20µL (capillary/venous). Display: LCD Touch Screen. Principle: Electrical Impedance."
Microscope,Laboratory Setup,0,0,0,0,"Olympus CX23 - Binocular with LED illumination and infinity corrected optical system
Type: Binocular, LED illumination. Optical System: Infinity Corrected (UIS2). Magnification: 40x – 1000x (4x, 10x, 40x, 100x oil). Head: 30° inclined, rotatable 360°. Focus: Coaxial coarse & fine (fine accuracy 2.5µm)."
Lab Stool,Laboratory Setup,0,0,0,0,"Hydraulic/pneumatic height adjustment with backrest and PU leather
Type: Hydraulic/pneumatic height adjustment. Material: PU leather, chrome base. Features: 360° swivel, backrest support, foot ring."
Autoclave 15L,Laboratory Setup,0,0,0,0,"Vertical/Tabletop manual autoclave with stainless steel chamber
Type: Vertical / Tabletop, Manual. Max Temp/Pressure: 121°C - 126°C / 0.14 - 0.16 MPa. Timer: 0-60 min. Material: Stainless Steel chamber. Safety: Overheat & dry-burn protection."
Autoclave 50L,Laboratory Setup,0,0,0,0,"Vertical digital automatic autoclave with full stainless steel construction
Type: Vertical, Digital/Automatic. Max Temp/Pressure: 134°C / 0.22 MPa. Features: Digital display, auto shut-off, safety lock. Material: Full stainless steel."
Vital Sign Monitor,Triage & Emergency,0,0,0,0,"Edan iM3 - Parameters: NIBP, HR, SpO2, Temp, Respiration with high-res color display
Parameters: NIBP, HR, SpO2, Temp, Respiration. Screen: 8.4 inch High-res color TFT. Battery: Built-in rechargeable (4+ hours). Alarms: Visual & audible for adult/pediatric."
Defibrillator,Triage & Emergency,0,0,0,0,"Biphasic AED or Manual with 7"" ECG display and adjustable energy
Type: Biphasic (AED or Manual). Energy: 2-200J (adjustable). Screen: 7"" color ECG display. Features: ECG monitoring, paddle/pad adult, battery life >3 hours."
Oxygen Concentrator 5L,Triage & Emergency,0,0,0,0,"Adjustable flow rate 0-5 L/min with 93% oxygen purity
Flow Rate: 0-5 L/min (adjustable). Oxygen Purity: 93% ±3%. Sound Level: <45 dB. Features: Nebulizer port, alarm for low purity/power failure."
Nebulizer,Triage & Emergency,0,0,0,0,"HEMC Model compressor nebulizer with 6-8ml reservoir
Type: Compressor. Particle Size: MMAD 3-5µm. Nebulization Rate: >0.2 ml/min. Reservoir: 6-8ml."
Patient Monitor V6,ICU Setup,0,0,0,0,"EEG Spec with ECG, Resp, NIBP, SpO2, Temp, 2-channel EEG and 12.1"" touchscreen
Parameters: ECG, Resp, NIBP, SpO2, Temp, 2-channel EEG, EtCO2 (optional). Screen: 12.1"" Touchscreen. Battery: 4+ hours. Data Export: USB/LAN."
Ventilator VG70,ICU Setup,0,0,0,0,"Aeonmed ICU Ventilator with invasive & non-invasive modes
Type: ICU Ventilator (Invasive & Non-invasive). Modes: VC-V, PC-V, PSV, CPAP, SIMV. Screen: 12"" Touchscreen. Tidal Volume: 20-2000ml. Features: Hot swap battery, inspired O2 monitoring."
Syringe Pump,ICU Setup,0,0,0,0,"P600 Biolight - Single or Double channel with flow rate 0.1-400 ml/h
Channels: Single or Double. Syringe Size: 10ml, 20ml, 30ml, 50ml. Flow Rate: 0.1 ml/h to 400 ml/h. Accuracy: ±2%. Anti-bolus: Yes."
Infusion Pump,ICU Setup,0,0,0,0,"P500 Biolight - Volumetric pump with flow rate 1-1200 ml/h
Type: Volumetric. Flow Rate: 1 ml/h to 1200 ml/h. VTBI: 0.1 ml to 9999 ml. Air Detector: Ultrasonic (<50µl). Occlusion Alarm: Yes."
ECG Machine,ICU Setup,0,0,0,0,"Edan SE-1200 - 12 Channels simultaneous with 7"" color LCD and 10,000+ ECG storage
Channels: 12 Channels (simultaneous). Screen: 7"" Color LCD. Filters: AC, Muscle, Drift. Storage: 10,000+ ECGs. Portable: Rechargeable battery, carry handle."
Ultrasound Trolley U2,Radiology Department,0,0,0,0,"3 probes (Convex, Linear, Phased array) with 15"" HD LED screen
Probes: Convex, Linear, Phased array (Cardiac). Screen: 15"" HD LED. Modes: 2D, M, Color Doppler, PW, CW. Ports: USB, HDMI, DICOM 3.0. Battery: 4+ hours."
